CustomerID,Age,Tenure months,Contract type,Internet service,Monthly charges,Total charges,Payment method,Support calls last month,Churn
20199,49.0,64,two-year,None,21.16,1346.46,Direct debit,1,no
20543,73.0,11,one-year,DSL,115.78,1297.71,Direct debit,0,no
20174,76.0,12,one-year,None,36.83,440.36,Credit card,0,no
20928,68.0,53,two-year,Fiber optic,109.67,5831.9,Direct debit,2,no
20066,41.0,39,one-year,Fiber optic,114.47,4470.65,Direct debit,1,no
20495,61.0,11,month-to-month,DSL,65.97,724.08,Direct debit,0,no
20751,80.0,41,month-to-month,None,36.66,1497.68,Bank transfer,5,yes
20548,,14,month-to-month,None,37.28,526.38,Direct debit,2,no
20601,55.0,1,month-to-month,None,28.09,29.36,Credit card,2,yes
20158,,58,month-to-month,DSL,55.3,3211.13,Credit card,1,no
20878,74.0,71,month-to-month,DSL,73.57,5220.42,Direct debit,1,yes
20067,43.0,11,two-year,Fiber optic,110.35,1217.76,Direct debit,0,no
20531,80.0,23,two-year,Fiber optic,53.57,,Credit card,3,no
20231,39.0,51,month-to-month,Fiber optic,61.79,3150.47,,3,yes
20745,61.0,30,month-to-month,Fiber optic,115.19,3446.12,Direct debit,3,yes
20408,81.0,16,one-year,Fiber optic,53.46,879.49,Credit card,1,no
20076,25.0,63,month-to-month,Fiber optic,62.35,3948.12,Credit card,0,no
20578,51.0,9,month-to-month,DSL,52.68,491.01,Bank transfer,2,yes
20859,28.0,61,month-to-month,Fiber optic,53.96,3317.8,Direct debit,2,no
20294,37.0,5,month-to-month,Fiber optic,97.95,519.29,Direct debit,1,yes
20088,51.0,10,month-to-month,DSL,,673.02,Bank transfer,3,no
20096,82.0,68,month-to-month,Fiber optic,92.88,6333.82,Direct debit,1,yes
20851,22.0,21,one-year,DSL,83.55,1775.58,Direct debit,2,no
20306,80.0,26,month-to-month,DSL,100.93,2634.76,Direct debit,1,no
20513,71.0,58,one-year,DSL,109.69,6386.68,Direct debit,1,no
20611,51.0,68,month-to-month,Fiber optic,63.94,4343.01,Direct debit,2,yes
20761,67.0,12,one-year,None,35.93,439.64,Bank transfer,3,no
20848,79.0,34,month-to-month,None,33.29,1128.87,Direct debit,4,yes
20357,79.0,35,month-to-month,DSL,78.28,2747.21,Credit card,1,no
20286,42.0,44,one-year,Fiber optic,116.31,5139.86,Direct debit,2,no
20023,79.0,0,one-year,DSL,96.04,22.95,Direct debit,0,no
20030,20.0,11,two-year,DSL,111.47,1256.13,Direct debit,3,no
20447,52.0,7,two-year,DSL,69.44,492.4,Direct debit,2,no
20244,65.0,53,month-to-month,,108.32,5749.64,Credit card,3,yes
20532,34.0,49,month-to-month,Fiber optic,64.15,3144.32,Direct debit,4,yes
20516,74.0,34,month-to-month,Fiber optic,48.07,1656.98,Direct debit,2,yes
20464,55.0,21,month-to-month,None,22.2,483.77,Direct debit,2,no
20872,32.0,4,month-to-month,Fiber optic,84.19,347.79,,0,yes
20940,,7,one-year,Fiber optic,87.7,630.17,Direct debit,4,no
20439,74.0,17,month-to-month,DSL,68.21,1186.57,Direct debit,3,yes
20299,32.0,47,month-to-month,DSL,80.83,3797.54,Direct debit,7,yes
20298,31.0,58,month-to-month,DSL,91.52,5319.03,Credit card,0,no
20275,44.0,71,month-to-month,DSL,59.57,4223.29,Direct debit,0,yes
20213,83.0,72,one-year,Fiber optic,74.9,5401.56,Credit card,0,no
20638,18.0,33,two-year,DSL,61.14,2026.47,Direct debit,2,no
20559,72.0,61,month-to-month,Fiber optic,83.75,5136.13,Credit card,4,yes
20717,79.0,46,month-to-month,DSL,91.13,4213.2,Bank transfer,3,yes
20120,59.0,18,month-to-month,,55.44,988.92,Credit card,3,yes
20590,31.0,27,one-year,Fiber optic,100.96,,Credit card,1,no
20342,51.0,19,month-to-month,None,35.12,668.37,Credit card,1,yes
20887,51.0,1,month-to-month,None,32.48,39.55,Credit card,3,yes
20596,67.0,55,month-to-month,Fiber optic,65.37,3612.68,,3,yes
20039,26.0,29,month-to-month,DSL,99.46,2891.77,Direct debit,2,yes
20793,,14,month-to-month,None,26.36,370.79,Credit card,1,yes
20309,75.0,6,one-year,DSL,114.31,681.37,Direct debit,1,no
20312,69.0,57,month-to-month,,95.36,5431.26,Direct debit,0,yes
20756,55.0,53,month-to-month,Fiber optic,113.16,6027.11,Direct debit,6,yes
20059,79.0,16,month-to-month,,112.74,1812.4,,5,yes
20394,63.0,14,month-to-month,DSL,70.44,1009.43,Credit card,1,no
20290,24.0,55,month-to-month,Fiber optic,100.1,5504.97,Direct debit,1,no
20277,34.0,47,month-to-month,Fiber optic,107.24,5067.7,Direct debit,3,yes
20209,53.0,24,month-to-month,DSL,87.18,2104.15,Bank transfer,4,yes
20405,53.0,71,two-year,DSL,81.02,5754.52,Bank transfer,4,no
20507,64.0,43,two-year,Fiber optic,50.23,2151.14,Direct debit,1,no
20585,22.0,7,month-to-month,Fiber optic,45.79,,Credit card,2,no
20433,29.0,1,month-to-month,DSL,109.27,139.11,Bank transfer,2,yes
20411,41.0,26,one-year,DSL,47.02,1217.53,Credit card,2,no
20070,46.0,9,month-to-month,DSL,,1037.75,Bank transfer,0,yes
20136,26.0,11,one-year,Fiber optic,61.61,688.73,Credit card,4,no
20824,73.0,69,month-to-month,None,19.24,1330.18,Direct debit,0,no
20346,78.0,11,one-year,,62.37,700.95,Credit card,2,no
20713,83.0,45,month-to-month,DSL,75.13,3381.57,Direct debit,2,yes
20723,62.0,67,two-year,Fiber optic,45.72,3060.3,Bank transfer,1,no
20584,71.0,19,month-to-month,Fiber optic,97.12,1864.52,Bank transfer,2,yes
20462,46.0,32,two-year,None,27.79,,Credit card,1,no
20063,,56,month-to-month,Fiber optic,90.0,5069.93,,3,yes
